Date,ACB,APHA,CGC,CRON,HEXO,TCNNF,TLRY
9/14/2020,6.53,4.68,16.360001,5.29,3.096,19.141001,5.34
9/21/2020,5.05,4.23,14.17,5.08,2.632,18.17,4.79
9/28/2020,4.58,4.41,14.05,5.03,2.604,18.57,4.82
10/5/2020,5.03,5.75,18.07,5.74,3.052,21.4,6.04
10/12/2020,4.02,4.65,17.76,5.43,2.984,21.700001,5.56
10/19/2020,4.68,4.55,19.73,5.83,3.076,24,6.73
10/26/2020,4.05,4.5,18.780001,5.29,2.432,23.538,5.71
11/2/2020,9.79,5.5,23.5,7.51,3.584,25.75,9.63
11/9/2020,7.08,5.66,24.43,7.09,3,27.254999,7.65
11/16/2020,7.13,6.13,23.719999,7.22,2.872,24.950001,7.36
11/23/2020,10.47,7.73,29,8.47,3.46,28.958,8.5
11/30/2020,10.89,8.49,28.59,8.63,4.32,30.360001,8.6
12/7/2020,9.91,7.97,26.530001,7.98,4,30.59,7.77
12/14/2020,9.6,7.65,25.969999,7.78,4.2,32.798,8.89
12/21/2020,8.87,7.13,25.860001,7.48,4.06,31.889999,8.59
12/28/2020,8.31,6.92,24.639999,6.94,3.68,31.620001,8.26
1/4/2021,9.99,8.57,30.17,9.06,4.8,40.139999,11.31
1/11/2021,12.04,12.42,33.389999,10.93,7.21,43.308998,19.700001
1/18/2021,10.65,12.92,33.799999,10.65,6.69,43,18.02
