Date,HEXO,TCNNF,TLRY
9/14/2020,3.096,19.141001,5.34
9/21/2020,2.632,18.17,4.79
9/28/2020,2.604,18.57,4.82
10/5/2020,3.052,21.4,6.04
10/12/2020,2.984,21.700001,5.56
10/19/2020,3.076,24,6.73
10/26/2020,2.432,23.538,5.71
11/2/2020,3.584,25.75,9.63
11/9/2020,3,27.254999,7.65
11/16/2020,2.872,24.950001,7.36
11/23/2020,3.46,28.958,8.5
11/30/2020,4.32,30.360001,8.6
12/7/2020,4,30.59,7.77
12/14/2020,4.2,32.798,8.89
12/21/2020,4.06,31.889999,8.59
12/28/2020,3.68,31.620001,8.26
1/4/2021,4.8,40.139999,11.31
1/11/2021,7.21,43.308998,19.700001
1/18/2021,6.69,43,18.02
